word,total_hits,title,year,genre,episode_title,season,episode,imdb_id,quote
renewal,575,Death Note,2007,"Animation, Crime, Drama",Renewal,1,26,tt0990613,RENEWAL
renewal,575,"Jeff, Who Lives at Home",2012,"Comedy, Drama",,,,tt1588334,Renewal.
renewal,575,The Substance,2024,"Horror, Science Fiction, Thriller",,,,tt17526714,Renewal
renewal,575,From Dusk Till Dawn: The Series,2014,"Action, Crime, Fantasy",Boxman,1,9,tt3456854,Renewal. | Renewal.
renewal,575,NCIS,2016,"Action, Crime, Drama",Loose Cannons,13,16,tt5446790,"Renewal. | Ends with an ""L."" Renewal."
renewal,575,Hobgoblins,1988,"Comedy, Horror, Sci-Fi",,,,tt0089280,Urban renewal.
renewal,575,The Salon,2005,Comedy,,,,tt0436742,Urban renewal!
renewal,575,Behind the Camera: The Unauthorized Story of 'Mork & Mindy',2005,"Comedy, Drama",,,,tt0437856,Contract renewal.
renewal,575,Brotherhood,2006,"Crime, Drama",Matthew 5:6,1,4,tt0532781,Urban renewal? | We're just going to throw in a spot of-- urban renewal.
renewal,575,The Pretender,1998,"Drama, Sci-Fi, Mystery",Hope & Prey,3,2,tt0678091,Renewal Wing.
renewal,575,Girlfriend Na Pwede Na,2023,"Comedy, Romance",,,,tt26292322,Facial renewal.
barter,418,Leyla and Mecnun,2013,"Adventure, Comedy, Drama, Fantasy, Mystery, Romance",Efsaneler,3,22,tt2667750,"Barter, barter! | -Shall we barter with Iskender's house? -Here we go, barter again? | But after being asked ""Would you barter with my soda?"", | ""Would you barter with a bicycle?"", I removed the ad."
barter,418,Brilliant Minds,2024,Drama,The Lost Biker,1,3,tt32375748,We barter. - Barter?
barter,418,Lifeboat,1944,"Drama, War",,,,tt0037017,Barter?
barter,418,The Happy Hooker Goes Hollywood,1980,Comedy,,,,tt0080839,"Barter. | With me, it's cash or barter."
barter,418,Gada Meilin,2002,"History, Action, Drama, Adventure",,,,tt0367765,"Barter? | Barter too. | Barter, hit him! | This is Barter, | I can't beat Barter. | Barter, beat them for me. | Or, give it to Barter. | His Royal Highness wants Barter to win."
barter,418,Free and Easy 6,1993,N/A,,,,tt0372000,Barter?
barter,418,A Lobster Tale,2006,"Family, Fantasy, Drama",,,,tt0474865,- Barter? | only if you're interested in some kinda barter.
barter,418,Law & Order,1992,"Crime, Drama, Mystery",Consultation,3,10,tt0629215,Barter.
barter,418,Meek's Cutoff,2011,"Adventure, Drama, Thriller",,,,tt1518812,Barter.
barter,418,Mosul,2020,"Action, Drama, War",,,,tt9252468,Barter?
barter,418,"The 1,000 Eyes of Dr. Mabuse",1960,"Crime, Mystery, Thriller",,,,tt0054371,"Barter? No. | Peter Barter. | ""TV Journal - Peter Barter"" | Did you know this Barter well? | Shortly after visiting you, Mr. Barter... | When that reporter Barter surprised you... | ""Television Station"" Where on earth is Barter? | Imagine if I had insured your friend Barter. | I'd also like to talk about Mr. Barter. | There's a new twist in the Barter case. | But I must talk to you again about Barter. | if you kept me informed about the Barter case. | regarding the fact that Barter met a violent death. | By the way, did you know the reporter, this Barter? | the reporter Peter Barter had been at the Luxor Hotel... | Do you remember a man by the name of Barter? | We just received the horrible news that our reporter Peter Barter... | Possibly, but in the Barter case this vision has failed you. | The autopsy revealed that Barter didn't die of a heart attack... | She sat over there, while Barter drank his whiskey over there. | - But in the Barter case you did! - Well, he's truly dead. | This Barter murder case reminds me of something that happened long ago. | The Barter case strikes me as an exact copy of Dr. Mabuse's methods. | To think what my friend Barter would have done with a thing like this. | You will laugh, Inspector, but I had pointed out Mrs. Menil to Mr. Barter."
espouse,40,ER,2003,"Drama, Romance",Kisangani,9,22,tt0568024,Mon espouse.
espouse,40,Survivor,2009,Reality,The Day of Reckoning,19,10,tt1498433,everybody wants to espouse
espouse,40,Numb3rs,2009,"Crime, Drama, Mystery",Hangman,6,1,tt1514982,We don't espouse violence.
espouse,40,Billions,2023,Drama,Winston Dick Energy,7,3,tt28288317,"I don't espouse it,"
espouse,40,S.W.A.T.,2018,"Action, Adventure, Crime",Hoax,1,22,tt8270834,These guys espouse violence
