word,total_hits,title,year,genre,episode_title,season,episode,imdb_id,quote
habitat,1066,Last Week Tonight with John Oliver,2021,"Talk, Comedy, News",Episode 233: Voting Rights,8,24,tt15415974,HABITAT.
habitat,1066,Shall We Die?,2023,"TV Movie, Drama, Comedy, Family",,,,tt27486527,habitat.
habitat,1066,Hunk,1987,"Comedy, Fantasy",,,,tt0093231,SUPERNATURAL HABITAT.
habitat,1066,Metallica: S&M,2000,"Documentary, Music",,,,tt0271061,Natural habitat
habitat,1066,Capturing the Friedmans,2003,"Documentary, Biography, Crime",,,,tt0342172,"Jungle Habitat. | Jungle Habitat in West Milford, New Jersey."
habitat,1066,Star Trek: Deep Space Nine,1996,"Action, Adventure, Drama",Hard Time,4,18,tt0708545,Habitat Ring. | will be subject to habitat reprogramming.
habitat,1066,Star Trek: Deep Space Nine,1997,"Action, Adventure, Drama",In The Cards,5,25,tt0708555,Habitat Ring. | Habitat Ring.
habitat,1066,Friday Night Lights,2007,Drama,Little Girl I Wanna Marry You,1,13,tt0921960,"""Habitat For"
habitat,1066,Truth Seekers,2020,Comedy,The Incident at CovColCosCon,1,4,tt10757638,...machinem habitat.
habitat,1066,Royal Pains,2009,"Comedy, Drama",There Will Be Food,1,2,tt1449676,Different habitat.
habitat,1066,Community,2011,Comedy,Paradigms of Human Memory,2,21,tt1640865,This habitat
for,135088,Teen Titans Go!,2013,"Animation, Action, Adventure",The Left Leg,1,26,tt3250402,"for... for... for... | So great for you. | Time for some power moves! | I think I'm done merging for today. | - Are you ready for this? - I'm ready, Beast Boy. | I'm just glad that he's not around for once. | Well, Robin, do you have anything to say for yourself?"
for,135088,Gentleman Jack,2019,"Biography, Drama, History",Let's Have Another Look at Your Past Perfect,1,5,tt8337518,"for--for--for | - For what? | for the bidding? | And for what? | for the upper bed. | anything, for God's sake? | with a note for Eugénie | who jeered at them for-- | if only for appearance's sake? | - I inscribed it for you. | He brought this parcel for you. | - You've been here for several days. | wondered if you'd done for t'day. | - There's a note for you, ma'am. | We can't be hanged for it. | - That would never do for me. | - Thank you for your kind hospitality. | and she wants paying for it. | if you're itching for a walk. | and nervous and poorly for me, | - And a note arrived for you, Ann. | - Could I leave this for Miss Walker? | to leave well alone for the moment. | and invite people to bid for it. | - I'd like a banker's draft for £30 | for his meeting with the church trustees, | without a more solemn tie, for me, | Marian's got Mr. Abbott round for tea. | nor understands what I've done for her | to stay with her for a few weeks | And those advances were unlooked for and unwanted. | for the ring you spoke of just yet. | for doing what we do with each other. | She must see us for what we are: | - I'm looking for a Book of Common Prayer. | Let's not fall out, for Miss Walker's sake. | If she had any real feelings for me, | that Hinscliff was his rival for your coal. | Moving here, it's a big step for her. | I'd like you to get rid of for me, | You know, I've been thinking for a while now... | - I've dwelt on Holt's figures for sinking this pit, | Oh, and I've got a message for the Hardcastles, | You haven't sent off for that ring, have you? | has brought Miss Parkhill into it, for her sake. | A voyage like that would never do for me. | ♪ For nobody likes a Jack-the-lass ♪ | ♪ The knives are out for Gentleman Jack ♪ | to put my night things into a bag for me. | - Put it to one side for the moment, Mr. Ainsworth. | and for which I enclose a banker's draft of £30. | - What can I do for you this morning, Miss Lister? | for the sinking of a new pit above Conery Wood. | We have to agree to her price for the upper bed. | - He said my spine's too weak even for that at present. | It must be very cold for you now winter's almost upon us. | And he's asking if he might see you for just a few moments. | If only we'd stuck to your birthday for the yes or the no"
for,135088,Black Monday,2019,Comedy,339,1,3,tt8559888,"For... for... for sex? | for us for a few months, | for everything. | Thanks for coming. | That's what best friends are for. | You've literally been there for weeks. | with your parents paying for anything. | I'm happy for you, baby girl. | Oh, sorry. No change for this. | Um, uh, for the following reasons... | it is paying for this blessed celebration | that I've worked tooth and nail for. | Make something besides just money for yourself. | Okay, well, I'm late for Jew church. | I'm gonna be a little late for dinner. | For Mom, we have Dubonnet with a twist. | Dawny, Spencey, I got a surprise for you. | Yeah. I was the model for the baby. | Everyone, I got a surprise for you, too. | Okay, that's gonna pay for college. Thank you. | and Doc Gooden doesn't do an aliyah for free. | And for Dad, Dewar's, splash of soda, two cubes. | Which is the perfect opportunity for you to quit. | It's my Nintendo, okay? I bought this for you. | ♪ That took you for a working boy ♪ | ♪ You shouldn't have to jump for joy ♪ | we need some people to hide the shares for us | And now I need it for my son, okay? So... | What, do you want me to leave them for you? | Speaking of opportunities, I actually have one for you guys. | No, I said I was happy for you. Not proud. | but someday, and probably for the rest of your life. | Doc Gooden's been in the bathroom for, like, 45 minutes! | have to prance around for a bunch of spoiled brats | it might be time for us to focus on more important things. | And so Reagan is cutting all of the funding for the arts."
