word,total_hits,title,year,genre,episode_title,season,episode,imdb_id,quote
cornucopia,136,The Big Bang Theory,2010,"Comedy, Romance",The Desperation Emanation,4,5,tt1632242,Cornucopia. | He's a cornucopia of social awkwardness.
cornucopia,136,One Tree Hill,2010,Drama,Between Raising Hell and Amazing Grace,8,9,tt1664469,"Cornucopia. | Say ""cornucopia."""
cornucopia,136,The Simpsons,2017,"Animation, Comedy",Mr. Lisa's Opus,29,8,tt7343996,Cornucopia?
cornucopia,136,Mr. Turner,2014,"Biography, Drama, History",,,,tt2473794,- 'Tis a splendid cornucopia. - Cornucopia!
cornucopia,136,Highway,2002,"Crime, Drama",,,,tt0165361,A cornucopia.
cornucopia,136,Saturday Night Live,2011,"Comedy, Music",Emma Stone/Coldplay,37,6,tt2088490,cornucopia! �ornucopia!
cornucopia,136,The Mindy Project,2014,Comedy,What About Peter?,3,10,tt4203904,"My cornucopia! | Oh, my cornucopia. | He's gonna put the cornucopia tile"
cornucopia,136,The Blacklist,2019,"Crime, Drama, Mystery",The Corsican (No. 20),6,2,tt8853056,A cornucopia.
cornucopia,136,The Roman Spring of Mrs. Stone,1961,"Drama, Romance",,,,tt0055382,That's a cornucopia.
cornucopia,136,Tangled,2001,"Drama, Thriller",,,,tt0238137,CORNUCOPIA OF WEEDS?
cornucopia,136,CSI: Crime Scene Investigation,2007,"Crime, Drama, Mystery",You Kill Me,8,8,tt1143237,A virtual cornucopia.
dilatory,14,Hot in Cleveland,2012,Comedy,Everything Goes Better with Vampires,3,16,tt2300137,"""Being dilatory."""
dilatory,14,Night Gallery,1972,"Drama, Fantasy, Horror","You Can Come Up Now, Mrs. Millikan/Smile, Please",3,7,tt0660836,Dilatory but delightful. | When Henry says I'm dilatory...
dilatory,14,Norma Jean & Marilyn,1996,"Biography, Drama",,,,tt0117201,The nurse is dilatory.
dilatory,14,Solar Opposites,2021,"Animation, Comedy, Sci-Fi",The Solar Opposites Almost Get an Xbox,2,8,tt8910980,"Today's word is dilatory, | I am dilatory all the time"
dilatory,14,Gideon of Scotland Yard,1958,"Comedy, Crime, Drama",,,,tt0051655,profound disapproval of your dilatory conduct.
dilatory,14,Othello,1966,Drama,,,,tt0059555,And wit depends on dilatory time.
