word,total_hits,title,year,genre,episode_title,season,episode,imdb_id,quote
mechanism,2358,California Dreaming,2007,"Comedy, Family",,,,tt0483763,Mechanism.
mechanism,2358,The Highest of Stakes,2023,Documentary,,,,tt28077332,"mechanism, | Finance in general is a mechanism by which the impatient"
mechanism,2358,DC's Legends of Tomorrow,2017,"Action, Adventure, Drama",Aruba-Con,3,1,tt6403446,Mechanism?
mechanism,2358,Ölümlü Dünya,2018,"Action, Comedy, Crime",,,,tt7748244,-This is a mechanism. -Mechanism.
mechanism,2358,Elephant,1989,"Crime, Drama",,,,tt0097270,(MECHANISM WHIRS)
mechanism,2358,The Dark Side of the Heart,1994,"Comedy, Romance, Drama",,,,tt0104662,A mechanism.
mechanism,2358,Heart of the Warrior,2000,"Comedy, Adventure, Fantasy",,,,tt0205843,mechanism permanently?
mechanism,2358,CSI: Miami,2004,"Action, Crime, Drama",Lost Son,3,1,tt0534817,Faulty mechanism.
mechanism,2358,Grounded for Life,2004,"Family, Comedy",Space Camp Oddity,4,28,tt0593171,defense mechanism.
mechanism,2358,Law & Order,1991,"Crime, Drama, Mystery",In Memory Of,2,7,tt0629311,psychological mechanism.
mechanism,2358,MacGyver,1986,"Action, Adventure, Crime",Countdown,1,14,tt0638692,( Mechanism humming )
maturity,998,On the Road,2012,"Adventure, Drama, Romance",,,,tt0337692,maturity.
maturity,998,Cheers,1988,"Comedy, Drama",Bar Wars,6,23,tt0539696,Maturity. | Maturity.
maturity,998,Degrassi: The Next Generation,2004,"Drama, Romance",Mercy Street,4,4,tt0557367,            Maturity.           
maturity,998,Moral Orel,2006,"Animation, Comedy, Drama",Maturity,1,8,tt0815528,MATURITY.                        | OBSERVE MATURITY.                | MATURITY JUICE.                 
maturity,998,Smallville,2009,"Adventure, Drama, Romance",Power,8,13,tt1267040,maturity.
maturity,998,Friday Night Lights,2011,"Drama, Sport",Always,5,13,tt1631966,Maturity.
maturity,998,Survivor,2012,Reality,Little Miss Perfect,25,9,tt2504720,>> MATURITY.
maturity,998,Marguerite's Theorem,2023,"Drama, Mystery",,,,tt26699529,Maturity.
maturity,998,Khichdi 2: Mission Paanthukistan,2023,"Comedy, Family",,,,tt26744890,"Maturity. | What does 'maturity' mean? | -'Maturity', Hansa! -Here they go again. | Please show some maturity, for god’s sake."
maturity,998,All American,2023,Drama,Sabotage,5,19,tt27577350,Maturity.
maturity,998,From Above,2023,Drama,,,,tt27679674,Maturity.
