word,total_hits,title,year,genre,episode_title,season,episode,imdb_id,quote
attire,910,In the Name of God,2007,Drama,,,,tt1068956,Attire? Islamic attire? | westernized youngsters and Islamic attire. | Let's take up the attire now.
attire,910,"Magnum, P.I.",1982,"Action, Adventure, Crime",Flashback,3,6,tt0639650,attire.
attire,910,The Real Housewives of Salt Lake City,2021,Reality,I Was Driving Carpool!,2,9,tt15819066,"- [scoffs] With different attire? - Different attire. | Look at this. Mine is ""Attire: Italian Street Fashion."""
attire,910,Henry V,1945,"Biography, Drama, History",,,,tt0036910,"diffused attire,"
attire,910,The Wonderful Country,1959,"Romance, Western",,,,tt0053453,Gringo's attire
attire,910,French Fried Vacation 3: Friends Forever,2006,Comedy,,,,tt0445800,- Grotesque attire.
attire,910,God Tussi Great Ho,2008,"Comedy, Drama, Fantasy",,,,tt0476550,Bride's attire. | ...bring a bride's attire for me. | Bride's attire for my Alia. - It's very beautiful.
attire,910,Charmed,2001,"Drama, Fantasy, Mystery",Blinded by the Whitelighter,3,11,tt0539334,...fearless attire.
attire,910,Everybody Loves Raymond,2004,Comedy,Party Dress,8,15,tt0574204,"""Formal attire""? | Formal attire party for kids--"
attire,910,Everybody Loves Raymond,2003,Comedy,The Plan,7,18,tt0574254,"""Attire optional""? | ""Attire optional"" means maybe naked! | And what is this? ""Attire optional""?!"
attire,910,Bob's Burgers,2020,"Animation, Comedy",Worms of In-Rear-Ment,11,2,tt13056198,"Symphony attire. | So, that's your symphony attire?"
exemplify,57,Class of '09,2023,"Drama, Mystery, Crime, Sci-Fi & Fantasy",The Problem Is People,1,5,tt18306102,They exemplify
exemplify,57,The Bitch Who Stole Christmas,2021,"Comedy, TV Movie, Drama",,,,tt15800254,"""to exemplify Tuckahoe,"
exemplify,57,Go for Broke!,1951,"Drama, History, War",,,,tt0043590,exemplify the finest traditions
exemplify,57,Don't Tell Anyone,1998,Drama,,,,tt0166287,<i>exemplify honesty...</i>
exemplify,57,Glee,2012,"Comedy, Drama, Music",Swan Song,4,9,tt2403623,who exemplify the best
exemplify,57,Reign,2014,"Drama, Fantasy",Acts of War,2,9,tt4151670,"you exemplify acceptance, tolerance,"
exemplify,57,You're the Worst,2016,"Comedy, Drama, Romance",You Knew It Was a Snake,3,12,tt5924292,a season of Exemplify.
exemplify,57,That's Entertainment! III,1994,"Documentary, Family, Musical",,,,tt0111408,If one performer could exemplify...
exemplify,57,Angel,2002,"Action, Drama, Fantasy",Supersymmetry,4,5,tt0512905,Her work continues to exemplify...
exemplify,57,The Fresh Prince of Bel-Air,1993,"Comedy, Family",Blood is Thicker Than Mud,4,8,tt0582945,"WILL, CARLTON DOESN'T EXACTLY EXEMPLIFY"
exemplify,57,Luxe Listings Sydney,2022,Documentary,Ladies And Gentlemen Welcome Home,2,1,tt18268502,[Brian chuckles] You exemplify ambition.
alternate,2171,THX 1138,1971,"Drama, Sci-Fi, Thriller",,,,tt0066434,Alternate.
alternate,2171,Race the Sun,1996,"Adventure, Comedy, Drama",,,,tt0117427,Alternate.
alternate,2171,Center Stage,2000,"Drama, Music",,,,tt0210616,Alternate.
alternate,2171,Those About to Die,2024,Drama,Death's Bed,1,7,tt28306323,"Alternate? | Alternate? There is no alternate to Scorpus. | It's good, it takes the pressure off you. We train alternate drivers,"
alternate,2171,"Homosexualité au cinéma, les chemins de la victoire",2024,Documentary,,,,tt32639698,"alternate me lost his alternate marbles? | Don't worry, Alternate P. | So, what you're saying is, after alternate me lost alternate you, | This alternate reality was caused | [Alternate Peabody] Rawr, rawr, rawr! | [Alternate Peabody] Goodbye, Mrs. Hughes. | Remember, we are in an alternate reality. | Alternate me is being controlled by Mrs. Hugh-- | me and alternate me were plummeting down a tube. | [Alternate Peabody] <i>But the plan was complete garbage.</i> | [Alternate Peabody] Looks like Sherman can take care of himself after all. | [Alternate Peabody] <i>I decided to construct</i> <i>two cryogenic freezing chambers</i>"
alternate,2171,Down to Earth,1947,"Comedy, Fantasy, Musical",,,,tt0039337,An alternate? | the official records list him as an alternate.
alternate,2171,Culloden,1968,"Drama, History, War",,,,tt0057982,Alternate... firing!
alternate,2171,SpaceCamp,1986,"Adventure, Family, Sci-Fi",,,,tt0091993,Request... alternate...
alternate,2171,Private,2003,"Comedy, Drama",,,,tt0372909,ALTERNATE MOUNTING
alternate,2171,The 4400,2005,"Drama, Mystery, Sci-Fi",Rebirth,2,8,tt0502804,"alternate reality,"
alternate,2171,Andromeda,2005,"Action, Adventure, Drama",Totaled Recall,5,17,tt0512306,Alternate dylans.
tenacity,492,Sword of the Beast,1965,"Action, Drama",,,,tt0200768,Tenacity? | We differ less in ability than in tenacity.
tenacity,492,Palabras encadenadas,2003,"Crime, Drama, Thriller",,,,tt0339489,Tenacity.
tenacity,492,RuPaul's Drag Race,2021,"Game-Show, Reality-TV",Snatch Game,13,10,tt13807812,Tenacity.
tenacity,492,'Twas the Night Before Christmas,2022,"TV Movie, Comedy, Drama, Romance",,,,tt22307338,"Tenacity? | Alright, tenacity. | So we are gonna make the royal icing our tenacity."
tenacity,492,StartUp,2016,"Crime, Thriller",Bootstrapped,1,6,tt5718010,tenacity.
tenacity,492,Bad Blood,2017,"Crime, Drama",You Can Never Hold Back Spring,1,6,tt6458976,"tenacity,"
tenacity,492,Inheritance,2020,"Drama, Mystery, Thriller",,,,tt7923220,tenacity.
tenacity,492,Background to Danger,1943,"Drama, Thriller, War",,,,tt0035659,Extreme tenacity.
tenacity,492,Crashing,2007,"Comedy, Drama, Romance",,,,tt0475243,And tenacity.
tenacity,492,Como Caído Del Cielo,2019,"Comedy, Drama, Musical",,,,tt10946934,His tenacity.
tenacity,492,13 Assassins,1990,"Action, Drama, History, TV Movie",,,,tt16388706,Such tenacity...
stilted,76,JAG,1999,"Action, Crime, Drama",Wilderness of Mirrors,4,21,tt0613416,That's stilted.
stilted,76,Resident Alien,2021,"Comedy, Drama, Mystery",Secrets,1,3,tt11757570,[stilted laugh] | [stilted chuckle] | [slow stilted chuckling] | - [Stilted laugh] - [Polite chuckle]
