word,total_hits,title,year,genre,episode_title,season,episode,imdb_id,quote
animate,156,The Amazing Race Canada,2022,Reality,Racing for Our Lives,8,6,tt21376184,"Animate. Animate! | Animate. Animate. | We're gonna Animate. Animate. | ""Aviate or Animate."" | Everyone's still at the Animate. | Let's go, come on! Of course, Animate. | Teams that choose Animate, will make their way to"
animate,156,Light & Magic,2022,Documentary,“Just think about it.”,1,3,tt20102086,"<i>Animate, animate, animate, and because of the scale</i> | or pistons going up and down that we didn't have to animate | <i>So I thought, well, I'm going to try to animate my hand.</i> | <i>and then I wrote the software in order to be able to animate it.</i>"
animate,156,Hot in Cleveland,2014,Comedy,The Animated Episode,5,18,tt3727310,"- De-animate them! De-animate them! | In fact, before we re-animate our men,"
animate,156,The Outer Limits,1996,"Drama, Fantasy, Horror",Resurrection,2,2,tt0667939,We animate. | We are ready to animate.
animate,156,Brilliant Minds,2024,Drama,The Man from Grozny,1,7,tt32375752,and animate.
animate,156,Monsoon,2020,"Drama, History, Romance",,,,tt8090564,I animate.
animate,156,The Avengers,1966,"Action, Comedy, Crime",The Murder Market,4,7,tt0516924,"Come on, baby, animate. Come on, animate..."
animate,156,Moulin Rouge!,2001,"Drama, Romance, Music",,,,tt0203009,The hills animate
animate,156,The Outer Limits,1995,"Drama, Fantasy, Horror",If These Walls Could Talk,1,19,tt0667906,into animate matter.
animate,156,Star Trek: Voyager,2000,"Action, Adventure, Sci-Fi",Body And Soul,7,7,tt0708859,Pre-animate biomatter.
animate,156,The Crimson Wing: Mystery of the Flamingos,2009,Documentary,,,,tt0902967,complex and animate.
humanitarian,928,Surviving the Game,1994,"Action, Adventure, Crime",,,,tt0111323,humanitarian.
humanitarian,928,Law & Order: Criminal Intent,2003,"Crime, Drama, Mystery",Cold Comfort,2,17,tt0629516,"Humanitarian | You got to be humanitarian of the millennium. | No, it's not enough for you to be humanitarian of the year."
humanitarian,928,Home of the Brave,2007,"Action, Drama, War",,,,tt0763840,"Humanitarian. | These humanitarian runs, man. I don't like them."
humanitarian,928,RuPaul's Drag Race,2020,"Game-Show, Reality-TV",Droop,12,8,tt12031594,"Humanitarian. | Humanitarian,"
humanitarian,928,Law & Order,2009,"Crime, Drama",Reality Bites,20,4,tt1510431,Humanitarian? | And we're requesting ROR for humanitarian reasons.
humanitarian,928,One Summer,2023,"Drama, Comedy",,,,tt23770412,humanitarian. | But applying on humanitarian grounds is a balancing act.
humanitarian,928,All That Jazz,1979,"Drama, Music, Musical",,,,tt0078754,"- A great humanitarian. - a great humanitarian... | - A great entertainer... - A great humanitarian. | a so-so entertainer, not much of a humanitarian... | - A great humanitarian... - And my dear friend for 25 years."
humanitarian,928,The Milky Way,1936,"Comedy, Romance, Sport",,,,tt0027969,the humanitarian. | a humanitarian and a killer... | But the good you... the humanitarian you...
humanitarian,928,The Anniversary,1968,"Comedy, Drama, Thriller",,,,tt0062671,"IT'S HUMANITARIAN. | ONLY ON HUMANITARIAN GROUNDS, DEAR. | IF YOU'RE REALLY A HUMANITARIAN,"
humanitarian,928,The Cannonball Run,1981,"Action, Comedy, Sport",,,,tt0082136,Humanitarian reasons.
humanitarian,928,Bad Medicine,1985,Comedy,,,,tt0088765,       IT'S HUMANITARIAN.
formidable,1496,Another Summer Holiday,2024,"Comedy, Drama",,,,tt18764900,Formidable... formidable...
formidable,1496,The Benny Goodman Story,1956,"Biography, Drama, Music",,,,tt0047873,"Formidable Benny. Formidable. | Formidable I'm Joe Goldcrown, director. Proud to have you here."
formidable,1496,Tandem,1987,"Comedy, Drama",,,,tt0094105,There! Formidable! You're formidable!
formidable,1496,The Mask of Dimitrios,1944,"Crime, Drama, Film-Noir",,,,tt0037055,Formidable.
formidable,1496,Silk Stockings,1957,"Comedy, Musical, Romance",,,,tt0050972,Formidable!
formidable,1496,Nayak,1966,Drama,,,,tt0060742,"Formidable! | My, my! I see you're quite a formidable young lady."
formidable,1496,I'm Losing My Temper,1975,Comedy,,,,tt0071863,Formidable.
formidable,1496,The Evening Star,1996,"Comedy, Drama, Romance",,,,tt0116240,Formidable.
formidable,1496,The King Is Alive,2000,Drama,,,,tt0208911,formidable.
formidable,1496,Miss Lettie and Me,2002,"TV Movie, Drama",,,,tt0328137,"Formidable! | Well, then you've done a formidable job."
formidable,1496,The South Shaolin Master Part II,1994,N/A,,,,tt0331513,Formidable!
ascertain,651,Mindhunter,2017,"Crime, Drama, Thriller",Episode #1.1,1,1,tt5534132,"Ascertain demands,"
ascertain,651,Nasreddin Hodja and Tamerlane,1954,Comedy,,,,tt0330684,Ascertain post-haste!
ascertain,651,Chicago Med,2019,Drama,In the Valley of the Shadows,5,3,tt11006868,ascertain Mr. Shepard's
